CHEM_ID	SUPER_PATHWAY	SUB_PATHWAY	CHEMICAL_NAME	HMDB	KEGG
999923432	None	None	X-23432	None	None
999923453	None	None	X-23453	None	None
999923456	None	None	X-23456	None	None
999923502	None	None	X-23502	None	None
999923511	None	None	X-23511	None	None
999923583	None	None	X-23583	None	None
999923587	None	None	X-23587	None	None
999923593	None	None	X-23593	None	None
999923639	None	None	X-23639	None	None
999923644	None	None	X-23644	None	None
999923653	None	None	X-23653	None	None
999923655	None	None	X-23655	None	None
999923662	None	None	X-23662	None	None
999923665	None	None	X-23665	None	None
999923666	None	None	X-23666	None	None
999923728	None	None	X-23728	None	None
999923732	None	None	X-23732	None	None
999923737	None	None	X-23737	None	None
999923775	None	None	X-23775	None	None
999923782	None	None	X-23782	None	None
999923911	None	None	X-23911	None	None
999924035	None	None	X-24035	None	None
999924072	None	None	X-24072	None	None
999924083	None	None	X-24083	None	None
999924084	None	None	X-24084	None	None
999924137	None	None	X-24137	None	None
999924229	None	None	X-24229	None	None
999924231	None	None	X-24231	None	None
999924246	None	None	X-24246	None	None
999924253	None	None	X-24253	None	None
999924257	None	None	X-24257	None	None
999924295	None	None	X-24295	None	None
999924408	None	None	X-24408	None	None
999924410	None	None	X-24410	None	None
999924411	None	None	X-24411	None	None
999924412	None	None	X-24412	None	None
999924422	None	None	X-24422	None	None
999924425	None	None	X-24425	None	None
999924565	None	None	X-24565	None	None
999924608	None	None	X-24608	None	None
999924683	None	None	X-24683	None	None
999924729	None	None	X-24729	None	None
999924753	None	None	X-24753	None	None
999924811	None	None	X-24811	None	None
999924840	None	None	X-24840	None	None
999924952	None	None	X-24952	None	None
999925007	None	None	X-25007	None	None
999925028	None	None	X-25028	None	None
999925043	None	None	X-25043	None	None
999925047	None	None	X-25047	None	None
999925055	None	None	X-25055	None	None
999925076	None	None	X-25076	None	None
999925109	None	None	X-25109	None	None
999925111	None	None	X-25111	None	None
999925212	None	None	X-25212	None	None
999925217	None	None	X-25217	None	None
999925219	None	None	X-25219	None	None
999925247	None	None	X-25247	None	None
999925343	None	None	X-25343	None	None
999925418	None	None	X-25418	None	None
999925420	None	None	X-25420	None	None
999925422	None	None	X-25422	None	None
999925475	None	None	X-25475	None	None
999925477	None	None	X-25477	None	None
999925485	None	None	X-25485	None	None
999925487	None	None	X-25487	None	None
999925500	None	None	X-25500	None	None
999925519	None	None	X-25519	None	None
999925520	None	None	X-25520	None	None
999925522	None	None	X-25522	None	None
999925532	None	None	X-25532	None	None
999925534	None	None	X-25534	None	None
999925563	None	None	X-25563	None	None
999925564	None	None	X-25564	None	None
999925668	None	None	X-25668	None	None
999925670	None	None	X-25670	None	None
999925676	None	None	X-25676	None	None
999925680	None	None	X-25680	None	None
999925681	None	None	X-25681	None	None
999925690	None	None	X-25690	None	None
999925701	None	None	X-25701	None	None
999925710	None	None	X-25710	None	None
999925711	None	None	X-25711	None	None
999925716	None	None	X-25716	None	None
999925717	None	None	X-25717	None	None
999925739	None	None	X-25739	None	None
999925758	None	None	X-25758	None	None
999925781	None	None	X-25781	None	None
999925785	None	None	X-25785	None	None
999925810	None	None	X-25810	None	None
999925832	None	None	X-25832	None	None
999925837	None	None	X-25837	None	None
999925936	None	None	X-25936	None	None
999925948	None	None	X-25948	None	None
999925949	None	None	X-25949	None	None
999925950	None	None	X-25950	None	None
999925955	None	None	X-25955	None	None
999925958	None	None	X-25958	None	None
999925959	None	None	X-25959	None	None
999926058	None	None	X-26058	None	None
999926059	None	None	X-26059	None	None
999926062	None	None	X-26062	None	None
999926094	None	None	X-26094	None	None
999926127	None	None	X-26127	None	None
999926217	None	None	X-26217	None	None
999926224	None	None	X-26224	None	None
999926236	None	None	X-26236	None	None
999926255	None	None	X-26255	None	None
999926263	None	None	X-26263	None	None
999926266	None	None	X-26266	None	None
